"","orgao","objeto","fornecedor","valor"
"1","HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL","AQUISIÇÃO DE EQUIPAMENTO PARA VIDEOCIRURGIA OTORRINOLARINGOLÓGICA","CONFIANCE MEDICAL PROD. MÉDICOS LTDA-EPP",14300
"2","HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL","AQUISIÇÃO DE MATERIAL PARA ALMOXARIFADO (PASTA DÍGITO TERMINAL E PASTA TIPO FICHÁRIO)","FEMAG IND E COM DE PASTAS P/ ARQUIVAMENTO LTDA-EPP",9750
"3","HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA MANUTENÇÃO PREVENTIVA E CORRETIVA DOS SISTEMAS DE PROTEÇÃO CONTRA INCÊNDIO","KATEL COM. E ASSESSORIA EM TELEFONIA LTDA",35853
"4","HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL","AQUISIÇÃO DE EQUIPAMENTO MÉDICO HOSPITALAR, SENDO: FONTE DE LUZ XENON 180W.","CONFIANCE MEDICAL PROD. MÉDICOS LTDA-EPP",10900
"5","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Juventude Pró – Protagonistas do Futuro” – Associação Alfasol.","ASSOCIAÇÃO ALFASOL",2328904.74
"6","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Concertos Sustentáveis” – Instituto Pensarte","INSTITUTO PENSARTE",216000
"7","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Centro de Aprendizagem Automotiva Profissional” – Camp Oeste – Centro de Assistência e Motivação de Pessoas.","CAMP OESTE CENTRO DE ASSISTÊNCIA E MOTIVAÇÃO DE PE",338134.14
"8","SAÚDE","Tratamento de clientela portadora de patologia oncológica, em regime ambulatorial e de internação","NSTITUTO DO CÂNCER ARNALDO VIEIRA DE CARVALHO",150000
"9","INFRA-ESTRUTURA URBANA E OBRAS","Execução das obras e serviços de recapeamento da Pista e PIT LANE, e obras complementares, no Autódromo Municipal José Carlos Pace - Interlagos","EQUIPAV ENGENHARIA LTDA",37409492.83
"10","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Arte em Ação” – UNIÃO BRASILEIRO ISRAELITA DO BEM ESTAR SOCIAL UNIBES","UNIÃO BRASILEIRO ISRAELITA DO BEM ESTAR SOCIAL UNI",150893.28
"11","DIREITOS HUMANOS E CIDADANIA","Projeto “Ação Proteção” – Centro Social Nossa Senhora do Bom Parto.","CENTRO SOCIAL NOSSA SENHORA DO BOM PARTO",134592.02
"12","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Quebra Tabu na Cidade de São Paulo” – Centro de Estudos da Sexualidade Humana do Instituto Kaplan","CENTRO DE ESTUDOS DA SEXUALIDADE HUMANA DO INSTITU",101520
"13","AUTARQUIA HOSPITALAR MUNICIPAL","FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIA DE TRAUMA ORTOPÉDICO DE MÃO E MEMBROS SUPERIORES COM COMODATO DE EQUIPAMENTOS, MATERIAIS E INSTRUMENTAIS.","Extera Importação e Exportação Ltda",4975000
"14","DIREITOS HUMANOS E CIDADANIA","Projeto “Interdisciplinaridade no Atendimento à Criança Cardíaca” – Associação de Assistência à Criança e ao Adolescente Cardíacos e aos Transplantados do Coração - ACTC.","ASSOCIAÇÃO DE ASSISTÊNCIA A CRIANÇA E AO ADOLESCEN",680688
"15","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIAS DE BUCO MAXILO FACIAL COM COMODATO DE EQUIPAMENTOS E INSTRUMENTAIS A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.","Synthes Indústria e Comércio Ltda",4345000
"16","SUBPREFEITURA: SÉ","Contratação de serviços de conservação de áreas ajardinadas, urbanizadas, praguejadas e em seu entorno através de equipes mediante uso da Ata de Registro de Preços nº. 041/SMSP/COGEL/2010, Item I, Tipo A, pelo período de 12 meses.","TRAJETO CONSTRUÇÕES E SERVIÇOS LTDA",2013176.9
"17","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIAS DE BUCO MAXILO FACIAL COM COMODATO DE EQUIPAMENTOS E INSTRUMENTAIS A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.","Johnson&Johnson do Brasil Ind. e Com. de Prod.",4345000
"18","COMPANHIA DE ENGENHARIA DE TRAFEGO","FORNECIMENTO E INSTALAÇÃO DE PARACICLO HORIZONTAL.","CRLS CONFECÇÃO CONSULTORIA E EVENTOS LTDA",99500
"19","SUBPREFEITURA: JABAQUARA","Execução de Serviços de Manutenção Predial no Clube Municipal Ferradura.","D.B. CONSTRUÇÕES LTDA",98967.06
"20","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Educação Expandida” – Instituto Futuro de Desenvolvimento Social, Cultural e Ambiental.","INSTITUTO FUTURO DE DESENVOLVIMENTO SOCIAL, EDUCAC",352600
"21","DIREITOS HUMANOS E CIDADANIA","Projeto “Educação e Cultura no Lar Betania”- Obra Filantrópica e Missionária Novo Lar Betania.","OBRA FILANTROPICA E MISSIONÁRIA NOVO LAR BETANIA",341672
"22","SUBPREFEITURA: JABAQUARA","READEQUAÇÃO E CONSERVAÇÃO DA PRAÇA DO ENCONTRO - JABAQUARA/SP","D.B. CONSTRUÇÕES LTDA",91345.25
"23","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Conte Comigo” – Associação Mutirão do Pobre","ASSOCIAÇÃO MUTIRÃO DO POBRE",176607
"24","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Conexão Jovem” – Ação Comunitária do Brasil – São Paulo","AÇÃO COMUNITÁRIA DO BRASIL SÃO PAULO",2309755.77
"25","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Sinfonia das Cores” -  Instituto Olga Kos","INSTITUTO OLGA KOS DE INCLUSÃO CULTURAL",260023.62
"26","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Terapia como suporte à inclusão” – Associação Filhas de Santa Maria da Providência.","ASSOCIAÇÃO FILHAS DE SANTA MARIA DA PROVIDÊNCIA",169200
"27","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Dançando com Arte para Criar Novos Horizontes” – Associação Casa de Apoio Amigos da Vida - ACAAV.","ASSOCIAÇÃO DE APOIO AMIGOS DA VIDA-ACAAV",145068
"28","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Juventude Ativa – Qualificação profissional em varejo” – Projeto Casulo.","PROJETO CASULO",107999.74
"29","DIREITOS HUMANOS E CIDADANIA","CMDCA - Projeto “Atividades Circenses – Hora do Lazer” – Instituto Movere de Ações Comunitárias.","INSTITUTO MOVERE DE AÇÕES COMUNITÁRIAS",126000
"30","HABITAÇÃO","Aquisição de ortofotocartas volumétricas com vetorização planialtimétrica.","BASE AEROFOTOGRAMETRIA E PROJETOS S/A.",1009843.02
"31","SUBPREFEITURA: MOOCA","Revitalização Praça Silvio Romero","MOLISE SERVIÇOS E CONSTRUÇÕES LTDA",35700
"32","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIA GERAL E VASCULAR.","Mogami Importação Exp. e Com. Ltda",1251049
"33","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIA GERAL E VASCULAR.","Medic Solutions Prod. Médicos Hospt. ltda",51100
"34","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","SERVIÇO DE DE CONVIVÊNCIA E FORTALECIMENTO DE VÍNCULOS - MODALIDADE CENTRO  DE DESENVOLVIMENTO SOCIAL E PRODUTIVO PARA ADOLESCENTES, JOVENS E ADULTOS - CEDESP","CENTRO SOCIAL PADRE CÍCERO ROMÃO",NA
"35","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIA GERAL E VASCULAR.","Plantão Médico Empreendimentos Ltda",10600
"36","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","SERVIÇO DE DE CONVIVÊNCIA E FORTALECIMENTO DE VÍNCULOS - MODALIDADE CENTRO  DE DESENVOLVIMENTO SOCIAL E PRODUTIVO PARA ADOLESCENTES, JOVENS E ADULTOS - CEDESP","CENTRO SOCIAL PADRE CÍCERO ROMÃO",NA
"37","AUTARQUIA HOSPITALAR MUNICIPAL","CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIAS DE BUCO MAXILO FACIAL COM COMODATO DE EQUIPAMENTOS E INSTRUMENTAIS A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.","Ortocir Ortopedia Cirúrgica Ltda",20000
"38","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","Serviço de Acolhimento Institucional para Crianças e Adolescentes para Apoio à Central de Vagas da SMADS","MORADIA ASSOCIAÇÃO CIVIL",NA
"39","ASSISTÊNCIA E DESENVOLVIMENTO SOCIAL","SERVIÇO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS – CENTRO DE DESENVOLVIMENTO SOCIAL E PRODUTIVO PARA ADOLESCENTES, JOVENS E ADULTOS / SCFV-  CEDESP","PROMOVE AÇÃO SÓCIO CULTURAL",NA
"40","AUTARQUIA HOSPITALAR MUNICIPAL","((NG))CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO EM CONSIGNAÇÃO DE MATERIAIS PARA CIRURGIAS NEUROLÓGICAS  – CRÂNIO COM COMODATO DE EQUIPAMENTOS E INSTRUMENTAIS A SEREM UTILIZADOS NAS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.((CL))","Technology Suprimentos Médicos Ltda",294000
